Pc [Pa],s
5818.109071,0
5961.411571,0.001959383
6116.176893,0.003905526
6574.751786,0.005864909
7491.887786,0.017581486
8730.031036,0.035162973
10266.24211,0.060542272
10942.63129,0.070312707
11326.6875,0.07225885
11469.99,0.074218233
11613.2925,0.074218233
11802.45318,0.078123759
12903.02189,0.105462441
14995.24529,0.160153044
17110.40121,0.218749173
18205.23507,0.253898906
19231.28511,0.279291445
20515.28654,0.32226547
22492.86793,0.396483703
24636.68436,0.490229565
26929.53814,0.564447798
29176.52686,0.642571557
31331.80611,0.705073212
33681.98089,0.74999338
35785.674,0.779291445
38089.99061,0.804683983
40348.44904,0.824211613
42515.19111,0.8417931
44802.31004,0.853509678
47043.57079,0.865226256
49353.61536,0.882807742
51514.62946,0.892578177
53790.28557,0.902335372
55974.22532,0.908200281
58238.41861,0.916011333
60668.84004,0.917957476
62738.13779,0.921863002
65048.18236,0.927727911
67346.76411,0.931633437
69645.35275,0.935538963
70757.38429,0.935538963
71783.43432,0.939444489
72929.86121,0.941403871
75228.44296,0.941403871
77641.66671,0.943350015
80077.823,0.947255541
82353.47911,0.949214923
84686.45621,0.951161067
87116.87764,0.953120449
89495.70604,0.957025975
91960.52282,0.957025975
94385.21629,0.958985358
96861.489,0.958985358
99332.04064,0.960931501
101705.1411,0.964837027
104278.865,0.96679641
106737.9469,0.96679641
109248.6219,0.968742553
111719.1666,0.968742553
114269.9649,0.970701936
116723.312,0.970701936
119113.6101,0.972648079
121532.5687,0.974607462
124083.367,0.974607462
126622.6956,0.976553605
127597.1595,0.976553605
128995.8029,0.976553605
131431.9523,0.976553605
132423.6139,0.976553605
134968.6773,0.976553605
137616.9199,0.976553605
138591.3838,0.976553605
140093.1995,0.976553605
142552.2814,0.978512988
145137.4682,0.980459131
147728.3898,0.980459131
150399.5649,0.980459131
153053.5424,0.980459131
155764.834,0.982418514
158464.6696,0.982418514
161307.8009,0.982418514
164168.1367,0.984364657
167045.6633,0.984364657
169963.3132,0.98632404
172926.8282,0.98632404
175833.0153,0.98632404
178865.3073,0.98632404
181782.9641,0.98632404
183250.3844,0.98632404
184740.7373,0.988283422
186265.4856,0.988283422
189343.6357,0.990229565
192330.0763,0.990229565
195339.4426,0.990229565
198354.5438,0.992188948
201306.589,0.992188948
204321.6902,0.992188948
207222.1424,0.994135091
210174.1877,0.994135091
213143.4307,0.994135091
216078.2852,0.994135091
219013.1328,0.994135091
221890.6594,0.994135091
224773.9209,0.994135091
227668.6451,0.994135091
230517.5113,0.996094474
233377.8402,0.996094474
236169.3922,0.996094474
239023.9863,0.996094474
241941.6431,0.996094474
244710.2625,0.996094474
247496.0728,0.996094474
250293.3528,0.998040617
251657.6008,0.998040617
253061.9722,0.998040617
255836.3196,0.998040617
258541.8833,1
261270.3725,1
263993.1338,1
266658.5741,1
269335.4772,1
272018.1151,1
274643.4321,1
277251.5445,1
279842.4661,1
282398.9993,1
284984.186,1
287489.1261,1
290028.4616,1
292539.1296,1
295026.8721,1
297491.6889,1
299956.5056,1
302398.3899,1
304754.2926,1
307196.1838,1
309529.1609,1
311879.3288,1
314229.5036,1
316470.7643,1
318798.0066,1
321033.5394,1
323286.2629,1
325470.2027,1
327688.5378,1
329815.1565,1
331981.8986,1
334062.6661,1
336206.4825,1
338252.8477,1
340264.8245,1
342322.6594,1
344305.9756,1
