nbNodesNumber of Nodes =	3421
voxel size (µm)	5

all volumes, lenghts and surfaces are reported as voxels

Node ID	Location Node(x,y,z)(µm))	Node Type	Node Volume	Node Dmax	Nodes radius
0	114,9,20	border_cell	29654	33.1357	3.68491
1	196,16,14	border_cell	116015	58.6801	13.2479
2	285,20,14	border_cell	109266	53.8961	7.56781
3	1292,15,4	border_cell	3729	20.5296	4.84334
4	1289,35,3	border_cell	2339	12.2321	3
5	570,31,0	border_cell	12	11.2199	4.9147
6	577,44,2	border_cell	1908	19.3254	8.08552
7	624,55,10	border_cell	85535	48.2718	10.3798
8	246,84,10	border_cell	48854	37.8537	11.8338
9	1287,90,11	border_cell	16730	24.8935	7.20915
10	782,97,1	border_cell	305	8.71054	3.70589
11	1028,106,11	border_cell	22565	20.0701	7.21507
12	1000,102,2	border_cell	1488	13.5242	3.82189
13	784,110,4	border_cell	2729	13.5216	4.96724
14	1141,104,9	border_cell	21512	21.3221	8.49839
15	684,112,1	border_cell	612	10.8473	2.84714
16	240,130,10	border_cell	21681	30.2131	7.75225
17	743,140,12	border_cell	126783	44.8176	8.88882
18	726,177,9	border_cell	30118	37.0603	9.50798
19	1198,183,0	border_cell	4	8.47446	4.23723
20	233,180,13	border_cell	66191	42.9209	13.3007
21	11,191,16	border_cell	47013	40.6206	4.88732
22	205,227,10	border_cell	66931	43.1392	12.3425
23	1084,223,2	border_cell	641	12.1022	3.7044
24	86,242,2	border_cell	814	10.4762	3.82842
25	96,244,3	border_cell	926	11.4957	5.08823
26	246,258,0	border_cell	3	8.81772	4.40886
27	255,268,4	border_cell	9799	13.8812	3.80614
28	108,270,4	border_cell	4041	14.7242	4.88054
29	248,267,0	border_cell	1	12.4725	6.23626
30	236,276,0	border_cell	1	8.60094	4.30047
31	118,282,3	border_cell	532	12.4267	4.54689
32	374,284,11	border_cell	21980	34.8052	13.4659
33	78,290,5	border_cell	4035	14.1941	2.51269
34	340,304,9	border_cell	34037	34.8014	10.4522
35	190,309,5	border_cell	3742	13.6447	4.19579
36	84,317,2	border_cell	1556	11.7846	4.91509
37	299,369,2	border_cell	709	10.7726	4.65546
38	185,392,5	border_cell	5549	15.4564	3.99713
39	167,402,4	border_cell	1953	11.1346	2.9361
40	257,395,6	border_cell	10853	22.1992	7.72095
41	239,405,2	border_cell	814	10.9587	2.51857
42	154,414,0	border_cell	1	12.3015	6.15073
43	160,416,3	border_cell	4399	13.7233	5.45373
44	844,418,1	border_cell	333	8.5764	3.8976
45	168,426,4	border_cell	1420	12.4704	3.50385
46	1082,442,8	border_cell	23614	28.7152	8.84764
47	258,445,13	border_cell	38938	37.4257	12.1578
48	227,446,7	border_cell	19162	33.2171	11.2203
49	1042,455,8	border_cell	3418	9.49447	3.96266
50	1114,465,5	border_cell	14793	26.449	7.12299
51	1088,471,2	border_cell	596	9.26661	3.49801
52	178,468,11	border_cell	72967	47.9119	20.3427
53	325,475,7	border_cell	7734	30.6007	10.0546
54	349,493,10	border_cell	31226	32.2795	14.5609
55	1298,493,2	border_cell	154	10.9461	3.00018
56	103,499,26	border_cell	260350	58.6198	11.9154
57	799,494,12	border_cell	25423	22.9269	10.0887
58	891,520,0	border_cell	2	18.9456	9.17994
59	1182,529,23	border_cell	499424	72.6643	23.1248
60	931,553,25	border_cell	118156	38.885	13.8791
61	71,567,6	border_cell	20993	30.3092	8.15851
62	100,570,0	border_cell	1	8.1086	4.0543
63	1143,589,11	border_cell	46381	47.5587	19.734
64	54,588,1	border_cell	417	9.98668	4.44764
65	1189,598,3	border_cell	994	10.3355	2.94121
66	489,610,3	border_cell	1535	13.2252	5.44641
67	503,618,5	border_cell	2800	17.2406	6.41413
68	1142,646,17	border_cell	158796	51.9979	13.8327
69	542,627,12	border_cell	43410	36.3074	14.8008
70	554,660,25	border_cell	31859	21.6529	8.78593
71	1087,660,0	border_cell	44	8.4739	3.7308
72	1102,664,0	border_cell	1	12.4927	6.24634
73	1173,693,11	border_cell	54855	45.5962	13.1053
74	1219,727,6	border_cell	10545	19.3468	5.99145
75	202,744,6	border_cell	2286	14.8071	4.64115
76	1243,756,9	border_cell	8992	18.7955	8.20042
77	201,774,1	border_cell	604	19.3885	5.88558
78	224,784,2	border_cell	1087	9.43418	3.65359
79	342,888,32	border_cell	341050	54.876	18.9073
80	1012,922,0	border_cell	174	14.5813	5.36789
81	1031,921,3	border_cell	801	10.5037	3.93037
82	1247,923,18	border_cell	274159	83.7414	28.3961
83	946,515,3	border_cell	987	12.3477	4.73507
84	669,594,7	border_cell	6372	16.1659	7.86013
85	24,345,34	border_cell	613723	80.896	8.36542
